	task1	task2	task3	task4	task5
core1	880	740	830	910	320
core2	885	743	832	913	321
core3	890	746	834	916	322
core4	895	749	836	919	323
core5	900	752	838	922	324

	task1	task2	task3	task4	task5
core1	883	744	835	912	326
core2	888	747	837	915	327
core3	893	750	839	918	328
core4	898	753	841	921	329
core5	903	756	843	924	330

	task1	task2	task3	task4	task5
core1	886	748	840	914	332
core2	891	751	842	917	333
core3	896	754	844	920	334
core4	901	757	846	923	335
core5	906	760	848	926	336

	task1	task2	task3	task4	task5
core1	889	752	845	916	338
core2	894	755	847	919	339
core3	899	758	849	922	340
core4	904	761	851	925	341
core5	909	764	853	928	342

	task1	task2	task3	task4	task5
core1	892	756	850	918	344
core2	897	759	852	921	345
core3	902	762	854	924	346
core4	907	765	856	927	347
core5	912	768	858	930	348

	task1	task2	task3	task4	task5
core1	895	760	855	920	350
core2	900	763	857	923	351
core3	905	766	859	926	352
core4	910	769	861	929	353
core5	915	772	863	932	354

	task1	task2	task3	task4	task5
core1	898	764	860	922	356
core2	903	767	862	925	357
core3	908	770	864	928	358
core4	913	773	866	931	359
core5	918	776	868	934	360

	task1	task2	task3	task4	task5
core1	901	768	865	924	362
core2	906	771	867	927	363
core3	911	774	869	930	364
core4	916	777	871	933	365
core5	921	780	873	936	366

	task1	task2	task3	task4	task5
core1	904	772	870	926	368
core2	909	775	872	929	369
core3	914	778	874	932	370
core4	919	781	876	935	371
core5	924	784	878	938	372

	task1	task2	task3	task4	task5
core1	907	776	875	928	374
core2	912	779	877	931	375
core3	917	782	879	934	376
core4	922	785	881	937	377
core5	927	788	883	940	378
