	task1	task2	task3	task4	task5
core1	922	802	856	1016	375
core2	877	790	908	1063	368
core3	854	775	815	970	358
core4	827	864	895	1057	391
core5	815	737	926	926	385

	task1	task2	task3	task4	task5
core1	922	802	856	1016	375
core2	877	790	908	1063	368
core3	854	775	815	970	358
core4	827	864	895	1057	391
core5	815	737	926	926	385

	task1	task2	task3	task4	task5
core1	922	802	856	1016	375
core2	877	790	908	1063	368
core3	854	775	815	970	358
core4	827	864	895	1057	391
core5	815	737	926	926	385

	task1	task2	task3	task4	task5
core1	922	802	856	1016	375
core2	877	790	908	1063	368
core3	854	775	815	970	358
core4	827	864	895	1057	391
core5	815	737	926	926	385

	task1	task2	task3	task4	task5
core1	922	802	856	1016	375
core2	877	790	908	1063	368
core3	854	775	815	970	358
core4	827	864	895	1057	391
core5	815	737	926	926	385

	task1	task2	task3	task4	task5
core1	922	802	856	1016	375
core2	877	790	908	1063	368
core3	854	775	815	970	358
core4	827	864	895	1057	391
core5	815	737	926	926	385

	task1	task2	task3	task4	task5
core1	922	802	856	1016	375
core2	877	790	908	1063	368
core3	854	775	815	970	358
core4	827	864	895	1057	391
core5	815	737	926	926	385

	task1	task2	task3	task4	task5
core1	922	802	856	1016	375
core2	877	790	908	1063	368
core3	854	775	815	970	358
core4	827	864	895	1057	391
core5	815	737	926	926	385

	task1	task2	task3	task4	task5
core1	922	802	856	1016	375
core2	877	790	908	1063	368
core3	854	775	815	970	358
core4	827	864	895	1057	391
core5	815	737	926	926	385

	task1	task2	task3	task4	task5
core1	922	802	856	1016	375
core2	877	790	908	1063	368
core3	854	775	815	970	358
core4	827	864	895	1057	391
core5	815	737	926	926	385
