	task1	task2	task3	task4	task5
core1	800	850	870	910	330
core2	810	860	880	920	340
core3	820	870	890	930	350
core4	830	880	900	940	360
core5	840	890	910	950	370

	task1	task2	task3	task4	task5
core1	800	850	870	910	330
core2	810	860	880	920	340
core3	820	870	890	930	350
core4	830	880	900	940	360
core5	840	890	910	950	370

	task1	task2	task3	task4	task5
core1	800	850	870	910	330
core2	810	860	880	920	340
core3	820	870	3000	930	350
core4	830	880	900	940	360
core5	840	890	910	950	370

	task1	task2	task3	task4	task5
core1	800	850	870	910	330
core2	810	860	880	920	340
core3	820	870	890	930	350
core4	830	880	900	940	360
core5	840	890	910	950	370

	task1	task2	task3	task4	task5
core1	800	850	870	910	330
core2	810	860	880	920	340
core3	820	870	890	930	350
core4	830	880	900	940	360
core5	840	890	910	950	370
