	task1	task2	task3	task4	task5
core1	900	900	900	900	900
core2	900	900	900	900	900
core3	900	900	900	900	900
core4	900	900	900	900	900
core5	900	900	900	900	900

	task1	task2	task3	task4	task5
core1	900	900	900	900	900
core2	901	901	901	901	901
core3	902	902	902	902	902
core4	903	903	903	903	903
core5	904	904	904	904	904

	task1	task2	task3	task4	task5
core1	902	902	902	902	902
core2	903	903	903	903	903
core3	904	904	904	904	904
core4	905	905	905	905	905
core5	906	906	906	906	906

	task1	task2	task3	task4	task5
core1	904	904	904	904	904
core2	905	905	905	905	905
core3	906	906	906	906	906
core4	907	907	907	907	907
core5	908	908	908	908	908

	task1	task2	task3	task4	task5
core1	906	906	906	906	906
core2	907	907	907	907	907
core3	908	908	908	908	908
core4	909	909	909	909	909
core5	910	910	910	910	910
